id;symbol_code;name_sv;name_en;active;images
123;E023;Tryck höger sida för att öppna dörr;Tryck höger sida för att öppna dörr;1;E023.svg
124;F001;Brandsläckare;Brandsläckare;1;F001.svg
125;F002;Brandslang;Brandslang;1;F002.svg
126;F003;Räddningsstege;Räddningsstege;1;F003.svg
127;F004;Brandsläckningsutrustning;Brandsläckningsutrustning;1;F004.svg
128;F005;Brandlarmsignal;Brandlarmsignal;1;F005.svg
129;F006;Nödtelefon;Nödtelefon;1;F006.svg
130;4101;Explosivt;Explosivt;1;4101.svg
131;4102;Brandfarligt;Brandfarligt;1;4102.svg
132;4103;Oxiderande;Oxiderande;1;4103.svg
133;4104;Gasbehållare;Gasbehållare;1;4104.svg
134;4105;Frätande;Frätande;1;4105.svg
135;4106;Giftigt;Giftigt;1;4106.svg
136;4107;Skadlig;Skadlig;1;4107.svg
137;4108;Hälsofarlig;Hälsofarlig;1;4108.svg
138;4109;Miljöfarlig;Miljöfarlig;1;4109.svg
139;B001;Brandpostledning;Brandpostledning;1;B001.svg
140;B002;Brandvatten;Brandvatten;1;B002.svg
141;B003;Sprinklersystem;Sprinklersystem;1;B003.svg
142;BG001;Acetylen;Acetylen;1;BG001.svg
143;BG002;Biogas;Biogas;1;BG002.svg
144;BG003;Blandgas;Blandgas;1;BG003.svg
145;BG004;Butan;Butan;1;BG004.svg
146;BG005;Buten;Buten;1;BG005.svg
147;BG006;Gas;Gas;1;BG006.svg
148;BG007;Gasol;Gasol;1;BG007.svg
149;BG008;Metangas;Metangas;1;BG008.svg
150;BG009;Naturgas;Naturgas;1;BG009.svg
151;BG010;Propan;Propan;1;BG010.svg
152;BG011;Stadsgas;Stadsgas;1;BG011.svg
153;BV001;Aceton;Aceton;1;BV001.svg
154;BV002;Alkohol;Alkohol;1;BV002.svg
155;BV003;Bensin;Bensin;1;BV003.svg
156;BV004;Bränsle;Bränsle;1;BV004.svg
157;BV005;Bränsle retur;Bränsle retur;1;BV005.svg
158;BV006;Bränsle tillopp;Bränsle tillopp;1;BV006.svg
159;BV007;Dieselolja;Dieselolja;1;BV007.svg
160;BV008;Emulsion;Emulsion;1;BV008.svg
161;BV009;Etanol;Etanol;1;BV009.svg
162;BV010;Fotogen;Fotogen;1;BV010.svg
163;BV011;Hydraulolja;Hydraulolja;1;BV011.svg
164;BV012;Köldmedium;Köldmedium;1;BV012.svg
165;BV013;Metanol;Metanol;1;BV013.svg
166;BV014;Olja;Olja;1;BV014.svg
167;BV015;Skärolja;Skärolja;1;BV015.svg
168;BV016;Smörjolja;Smörjolja;1;BV016.svg
169;BV017;Tjockolja;Tjockolja;1;BV017.svg
170;BV018;Toluen;Toluen;1;BV018.svg
171;BV019;Tunnolja;Tunnolja;1;BV019.svg
172;FG001;Ammoniak;Ammoniak;1;FG001.svg
173;FG002;Kalium;Kalium;1;FG002.svg
174;FG003;Kaustiksoda;Kaustiksoda;1;FG003.svg
175;FG004;Lut;Lut;1;FG004.svg
176;FG005;Natriumflourid;Natriumflourid;1;FG005.svg
177;FG006;Natriumnitrit;Natriumnitrit;1;FG006.svg
178;FG007;Natriumsulfit;Natriumsulfit;1;FG007.svg
179;FG008;Salpetersyra;Salpetersyra;1;FG008.svg
180;FG009;Saltsyra;Saltsyra;1;FG009.svg
181;FG010;Svavelsyra;Svavelsyra;1;FG010.svg
182;FG011;Syra;Syra;1;FG011.svg
183;LV001;Kalluft;Kalluft;1;LV001.svg
184;LV002;Luft;Luft;1;LV002.svg
185;LV003;Luftkonditionering;Luftkonditionering;1;LV003.svg
186;LV004;Renad luft;Renad luft;1;LV004.svg
187;LV005;Returluft;Returluft;1;LV005.svg
188;LV006;Steril luft;Steril luft;1;LV006.svg
189;LV007;Tryckluft;Tryckluft;1;LV007.svg
190;LV008;Vakuum;Vakuum;1;LV008.svg
191;LV009;Varmluft;Varmluft;1;LV009.svg
192;V001;Vatten;Vatten;1;V001.svg
193;V002;Avfallsvatten;Avfallsvatten;1;V002.svg
194;V003;Avhärdat vatten;Avhärdat vatten;1;V003.svg
195;V004;Avjoniserat vatten;Avjoniserat vatten;1;V004.svg
196;V005;Behandlat vatten;Behandlat vatten;1;V005.svg
197;V006;Blandvatten;Blandvatten;1;V006.svg
198;V007;Brunsvatten;Brunsvatten;1;V007.svg
199;V008;Destillerat vatten;Destillerat vatten;1;V008.svg
200;V009;Dricksvatten;Dricksvatten;1;V009.svg
201;V010;Ej dricksvatten;Ej dricksvatten;1;V010.svg
202;V011;Filtrerat vatten;Filtrerat vatten;1;V011.svg
203;V012;Förorenat vatten;Förorenat vatten;1;V012.svg
204;V013;Högtrycksvatten;Högtrycksvatten;1;V013.svg
205;V014;Industrivatten;Industrivatten;1;V014.svg
206;V015;Kallvatten;Kallvatten;1;V015.svg
207;V016;Klorvatten;Klorvatten;1;V016.svg
208;V017;Orenat vatten;Orenat vatten;1;V017.svg
209;V018;Regnvatten;Regnvatten;1;V018.svg
210;V019;Returvatten;Returvatten;1;V019.svg
211;V020;Stadsvatten;Stadsvatten;1;V020.svg
212;V021;Sötvatten;Sötvatten;1;V021.svg
213;V022;Tillopsvatten;Tillopsvatten;1;V022.svg
214;V023;Varmvatten;Varmvatten;1;V023.svg
215;V024;Återvinningsvatten;Återvinningsvatten;1;V024.svg
216;VA001;HT-ånga;HT-ånga;1;VA001.svg
217;VA002;Högtrycksånga;Högtrycksånga;1;VA002.svg
218;VA003;LT-ånga;LT-ånga;1;VA003.svg
219;VA004;Lågtrycksånga;Lågtrycksånga;1;VA004.svg
220;VA005;Vattenånga;Vattenånga;1;VA005.svg
221;VA006;Ånga;Ånga;1;VA006.svg
222;VA007;Ånga 4 bar;Ånga 4 bar;1;VA007.svg
223;VA008;Ånga 6 bar;Ånga 6 bar;1;VA008.svg
224;VA009;Ånga 10 bar;Ånga 10 bar;1;VA009.svg
225;VA010;Ånga 24 bar;Ånga 24 bar;1;VA010.svg
226;VSM001;Customer/Supplier;Customer/Supplier;1;VSM001.svg
227;VSM002;External Shipment;External Shipment;1;VSM002.svg
228;VSM003;Shipment (1);Shipment (1);1;VSM003.svg
229;VSM004;Plane Shipment;Plane Shipment;1;VSM004.svg
230;VSM005;Ship Shipment;Ship Shipment;1;VSM005.svg
231;VSM006;Shipment (2);Shipment (2);1;VSM006.svg
232;VSM007;Shipment (3);Shipment (3);1;VSM007.svg
233;VSM008;Material Pull;Material Pull;1;VSM008.svg
234;VSM009;Kanban Post;Kanban Post;1;VSM009.svg
235;VSM010;Supermarket;Supermarket;1;VSM010.svg
236;VSM011;Safety Stock;Safety Stock;1;VSM011.svg
237;VSM012;Inventories;Inventories;1;VSM012.svg
238;VSM013;Go-See;Go-See;1;VSM013.svg
239;VSM014;Workcell;Workcell;1;VSM014.svg
240;VSM015;Rail Shipment;Rail Shipment;1;VSM015.svg
241;VSM016;Inventory push;Inventory push;1;VSM016.svg
242;VSM017;Process;Process;1;VSM017.svg
243;VSM018;Data Table;Data Table;1;VSM018.svg
244;VSM019;FIFO Lane;FIFO Lane;1;VSM019.svg
245;VSM020;Electronic Information;Electronic Information;1;VSM020.svg
246;VSM021;Production Kanban;Production Kanban;1;VSM021.svg
247;VSM022;Batch Kanban;Batch Kanban;1;VSM022.svg
248;VSM023;Withdrawal Kanban;Withdrawal Kanban;1;VSM023.svg
249;VSM024;Signal Kanban;Signal Kanban;1;VSM024.svg
250;VSM025;Push Arrow;Push Arrow;1;VSM025.svg
251;VSM026;Electronic Information;Electronic Information;1;VSM026.svg
252;E001;Nödutgång;Nödutgång;1;E001.svg
253;E002;Nödutgång;Nödutgång;1;E002.svg
254;E003;Första hjälpen;Första hjälpen;1;E003.svg
255;E004;Nödtelefon;Nödtelefon;1;E004.svg
256;E007;Samlingsplats;Samlingsplats;1;E007.svg
257;E008;Krossa för åtkomst;Krossa för åtkomst;1;E008.svg
258;E009;Läkare;Läkare;1;E009.svg
259;E010;Hjärtstartare;Hjärtstartare;1;E010.svg
260;E011;Ögondusch;Ögondusch;1;E011.svg
261;E012;Nöddusch;Nöddusch;1;E012.svg
262;E013;Bår;Bår;1;E013.svg
263;E014;Barnstol och orienteringsdetektsystem;Barnstol och orienteringsdetektsystem;1;E014.svg
264;E015;Dricksvatten;Dricksvatten;1;E015.svg
265;E016;Utrymningsfönster med stege;Utrymningsfönster med stege;1;E016.svg
266;E017;Räddningsfönster;Räddningsfönster;1;E017.svg
267;E018;Öppnas moturs;Öppnas moturs;1;E018.svg
268;E019;Öppnas medurs;Öppnas medurs;1;E019.svg
269;E020;Nödstopp;Nödstopp;1;E020.svg
270;E022;Tryck vänster sida för att öppna dörr;Tryck vänster sida för att öppna dörr;1;E022.svg
271;E023;Tryck höger sida för att öppna dörr;Tryck höger sida för att öppna dörr;1;E023.svg
272;PM001A;Soptunna;Soptunna;1;PM001A.svg
273;PM001B;Soptunna - Brännbart;Soptunna - Brännbart;1;PM001B.svg
274;PM001C;Soptunna - Plast;Soptunna - Plast;1;PM001C.svg
275;PM001D;Soptunna - Wellpapp;Soptunna - Wellpapp;1;PM001D.svg
276;PM001E;Soptunna - Papper;Soptunna - Papper;1;PM001E.svg
277;PM002A;Pall;Pall;1;PM002A.svg
278;PM002B;Pall - Kick-step;Pall - Kick-step;1;PM002B.svg
279;PM002C;Pall - Kick-step pall;Pall - Kick-step pall;1;PM002C.svg
280;PM002D;Pall - Steg pall;Pall - Steg pall;1;PM002D.svg
281;PM002E;Pall - Spark pall;Pall - Spark pall;1;PM002E.svg
282;PM003A;Stege;Stege;1;PM003A.svg
283;PM003B;Stege - Stege;Stege - Stege;1;PM003B.svg
284;PM004A;Truck;Truck;1;PM004A.svg
285;PM004B;Truck - Handtruck;Truck - Handtruck;1;PM004B.svg
286;PM004C;Truck - Palltruck;Truck - Palltruck;1;PM004C.svg
287;PM004D;Truck - Lyfttruck;Truck - Lyfttruck;1;PM004D.svg
288;PM005A;Cykel;Cykel;1;PM005A.svg
289;PM005B;Cykel - Flaksparkcykel;Cykel - Flaksparkcykel;1;PM005B.svg
290;PM005C;Cykel - Sparkcykel;Cykel - Sparkcykel;1;PM005C.svg
291;PM005D;Cykel - Lastcykel;Cykel - Lastcykel;1;PM005D.svg
292;PM006A;Vagn;Vagn;1;PM006A.svg
293;PM006B;Vagn - Plattformsvagn;Vagn - Plattformsvagn;1;PM006B.svg
294;RC001A;Återvinning;Återvinning;1;RC001A.svg
295;RC001B;Återvinning - Återvinning;Återvinning - Återvinning;1;RC001B.svg
296;RC001C;Återvinning - Brännbart;Återvinning - Brännbart;1;RC001C.svg
297;RC001D;Återvinning - Plast;Återvinning - Plast;1;RC001D.svg
298;RC001E;Återvinning - Wellpapp;Återvinning - Wellpapp;1;RC001E.svg
299;RC001F;Återvinning - Metall;Återvinning - Metall;1;RC001F.svg
300;RC001G;Återvinning - Papper;Återvinning - Papper;1;RC001G.svg
